Molecule ChEMBL ID,Smiles,pIC50,BCUTs-1l,Xch-7d,BCUTd-1h,Xch-6d,BCUTc-1l,Xc-5d,SlogP_VSA2,BCUTi-1l,Xch-6dv,BCUTc-1h,BCUTse-1l,BCUTd-1l,Xc-3d,pIC50_binary
D0783,c1c(ccc(c1)C(=O)Nc1ccc(cc1)C(=O)N1[C@@H](CCC1)C#N)C#N,7.936,1.260758079520137,0.4528471226383941,3.1836847604542773,0.3180413817439771,-0.4063608035288772,0.3606849769385113,29.30086642461403,10.949319645391538,0.1468426484730832,0.4092126139240439,2.4309531705451315,0.910867140937957,1.4724834040772083,1
D0445,[C@H]1(C[C@@H](C[NH2+]1)C(=O)N1CCOCC1)C(=O)N1[C@@H](CCC1)C#N,8.367,1.2149227334936037,0.5516304063602898,3.181090275023468,0.3895195511812305,-0.4159691859827267,0.4352839364706286,73.09065013137602,11.068066754859128,0.2547817695740494,0.5011995797077363,2.530288917834473,0.911340026199952,1.1876496096143716,1
D1164,c1(c(c(c2c(n1)ccc(c2)OCCC(=O)[O-])c1ccc(cc1)C)C[NH3+])CC(C)C,7.538,1.254695663870637,0.4214438105605221,3.2924748286295955,0.1967356362399619,-0.6336973666921033,0.2823601613688128,17.560165773411974,10.9234661457934,0.0658094638533858,0.7100420500453188,2.403866800594092,0.97268753401096,2.19257249884149,1
D2477,n1(c2c(c(=O)c(c1)C(=O)[O-])cc(c(n2)N1C[C@@H](c2cc(c(cc2)Cl)Cl)[C@H](C1)[NH3+])F)C1CC1,6.0,1.183354482930875,1.13732208420258,3.296031836569268,0.6359737152257201,-0.6255816200217543,0.967569616491216,34.65173709766352,10.951733173468586,0.3410802948624849,0.706544879348003,2.4217561468265787,0.9726533085972924,2.785089045572998,0
D1217,C1[C@@H](C[C@H]2[C@@H]1C[C@H](C2)OC(=O)C)[NH2+]CC(=O)N1[C@@H](CCC1)C#N,7.495,1.1731726397009457,0.7808059672991264,3.1596477969270422,0.5596230055411735,-0.4946831319697801,0.2475997599422481,48.0535556060232,11.061299999999994,0.4707777117033328,0.5121472286055057,2.530433652630822,0.9113332994821328,1.6882816048111964,1
D2276,c1cc(c(cc1F)C[C@H](C1CCN(CC1)C(=O)C)[NH3+])F,6.347,1.1755345609002985,0.2804203307853608,3.180054788656614,0.1513747150773104,-0.4148105594421049,0.4023689270621825,29.938443101175093,10.953821021649729,0.0886059836530246,0.7035396779176243,2.437644662049314,0.9728399892573764,1.593412988719178,0
D1267,C1[NH2+][C@@H](C[C@@H]1C(=O)N1CCN(CC1)c1snc(n1)CC)C(=O)N1CCCC1,7.432,0.6169117639868116,0.7092756949471919,3.168678561850852,0.4541241452319314,-0.4129242403642852,0.4682335127930838,82.82683309330362,10.330264930563228,0.2944402276997329,0.5010705044007269,2.546115134580763,0.9772891423868928,1.5890243246916822,1
D0252,n1(c(=O)n(c2c(c1=O)n(c(c2C#N)N1CC[NH2+]CCC1)CC=C(C)C)C)Cc1nc2c(c(n1)C)cccc2,8.699,1.320608164155322,1.0326953567099115,3.3630573994222432,0.3777588793623399,-0.4476964248857784,0.8348487150468183,49.84828160891878,10.942266438802966,0.1254928628725775,0.509230824458968,2.420296659387555,0.9113161737357308,2.63642268589942,1
D0347,C1CC[C@H]([C@@H]1C#N)C(=O)[C@@H]1C[N@@H+](C[C@@H]1N)[C@H](c1ccc(cc1)n1ncnc1)C,8.523,1.1763222809670424,0.771294389725554,3.1924511170206102,0.5253775377200258,-0.4094158084118735,0.5971846899358006,39.67906185173148,10.953885890510977,0.3197596613691142,0.4232758993231974,2.4374263793720785,0.9113345419846324,1.7261013001645085,1
D2283,C([C@H](CC(=O)N1C[C@H]2N(CC1)C(=O)N(C2)CC)[NH3+])c1c(cc(c(c1)F)F)F,6.337,1.2344837456922937,0.7440623967377722,3.199167107654725,0.368831024098038,-0.4107395341445011,0.6452027738029359,71.4454871220998,10.953586806941816,0.1649273694248301,0.7042815695241688,2.436587737565107,0.9772629172225968,2.2266836960613725,0
D2599,c1c(c(cc2c1CCN1[C@H]2C[C@@H]([C@H](C1)N1C(=O)CC[C@H]1C)[NH3+])OC)OC,5.658,1.1803651289035737,0.744745161944795,3.2224800964319624,0.4146723119520975,-0.5283731408008352,0.5736924586681095,61.14162957287655,10.946856649545252,0.2243111787394452,0.7060430265150539,2.43084341061098,0.977868025371242,1.8931328494281885,0
D1283,C1[C@@H](C[C@H]2[C@@H]1CN(C2)C(=O)N1CCCC1)[NH2+]CC(=O)N1[C@@H](CCC1)C#N,7.409,1.173172639700946,0.942941058776445,3.166440809431609,0.6304705126860852,-0.4066119396775176,0.4400498496721234,77.99024352801237,11.06130000000004,0.4939899925508964,0.5122396240116022,2.530433601219892,0.91133883973233,1.6016925921786105,1
D0533,[C@@H]1(CC[N@@H+](CC1)[C@@H]1CN[C@@H](C1)C(=O)N1CCSC1)c1cc(nn1c1ccccc1)C(F)(F)F,8.252,0.6251084415595459,0.9185332905419906,4.022120379958622,0.5640351363141667,-0.4190524299238923,0.9004344439989378,70.47992348207458,10.338204528856073,0.3475463011687813,0.5267952211914905,2.4440850100420013,0.9779018979056792,2.9749785877876294,1
D0968,N1(C(=O)C[NH2+][C@@H]2CC[C@@H](NC(=O)C3CCCCC3)CC2)[C@H](C#N)CCC1,7.745,1.2048441643037722,0.424376455238885,3.159576595020176,0.3367701210266096,-0.405302144231768,0.2821175568066727,47.92930448882252,11.050065244922031,0.2766824988668267,0.5120540833055167,2.530430727613829,0.9113384735032826,1.3490689080761826,1
D0630,C(C(=O)N1[C@@H](C[C@@H](C1)F)C#N)[NH2+]C(CN(CC(C)C)C(=O)c1ccccc1)(C)C,8.137,1.1591212798436967,0.384686859829783,4.018033144010819,0.3218840547804361,-0.4044097502778255,0.3567165163387901,65.54564602109586,10.954889104286163,0.1347824226959227,0.5126701484671623,2.4397200447536465,0.9113145008612,2.9682653198585687,1
D2470,C(c1c([nH+]ccc1)NCCNCC(=O)N1[C@H](C#N)CCC1)(F)(F)F,6.005,1.217475252610095,0.3481919917077937,4.022232305222396,0.2347080484106438,-0.4076548031887165,0.5767453823010675,43.02795591300024,10.988495825461358,0.1190648706953054,0.5325190206793555,2.462698699848319,0.9113291703618605,2.188994891199,0
D1270,n1(c(=O)c2c(c3cc(ccc13)C(=O)[O-])nc(n2Cc1ccccc1OC)N1C[C@@H](CCC1)[NH3+])C,7.42,1.2331236577520468,0.9420046797377872,3.3410394199722635,0.4633834044911907,-0.6265763603674284,0.8292584518888549,46.3286342867324,10.93312563840708,0.1842171957073388,0.7053658004400749,2.40764599135263,0.9726580142968636,2.4651002426054465,1
D0615,c1(cc(c(cc1F)C[C@H](CC(=O)N1CCn2c([C@H]1CC1CC1)nc(n2)C(F)(F)F)[NH3+])F)F,8.155,1.2173933506775652,0.934843690414478,4.022120606130048,0.4189033343310669,-0.4115363003990048,0.99290803647667,38.15814995965595,10.953586793613423,0.2012327122368654,0.7043278943150406,2.4365877272846834,0.9777711681641196,3.68755291628785,1
D2031,c1c(cc(cc1)C[C@H](CC(=O)N1[C@@H](C[C@@H](C1)F)C#N)[NH3+])F,6.658,1.2319175381933376,0.4680201931631163,3.160582251573699,0.3031553154978037,-0.4068407056418355,0.1642664266089148,35.60720291992077,10.954150921556431,0.1304851855187213,0.7042302876332651,2.438935674469815,0.911331456493048,1.6086012395665072,0
D2677,N1(C(=O)[C@@H]([NH3+])C2CCCCC2)[C@H](C(=O)NCc2c(C(=O)[O-])cccc2)CCC1,5.444,1.1793108830030248,0.4287263586824885,3.2072310736721303,0.3214781694372534,-0.6265207177662371,0.641808321760312,41.31201254171384,10.94894093702304,0.2211269433112712,0.7175313999969327,2.433766490603874,0.9726023824996918,1.6955173969857962,0
D1633,N1(C(=O)C[NH2+]C2CCC2)[C@H](C#N)CCC1,7.097,1.2069044821450967,0.306525325041127,3.15913668114473,0.2534367876932762,-0.4053018829243295,0.1642664266089148,35.980283930323054,11.060573726533107,0.1933491655334934,0.5118174863016944,2.5304310614744936,0.9113473329028712,0.7425758357820683,0
D1684,C1[C@](C(=O)N2[C@H]1SC[C@H]2C#N)(N)C1CCCC1,7.051,0.6222467076284304,1.0217109201295322,4.028881863435789,0.5265698087444748,-0.4039307027516193,0.6931051945215175,33.51458196144882,10.33809913205364,0.446147862194014,0.3935066022355297,2.525920458643152,0.9113422496451672,1.4482147657368052,0
D0271,[C@@H]1(Oc2c(C[C@@H]1[NH3+])c1c(cc2)cc(c(c1)OC)OC)c1c(cc(c(c1)F)F)F,8.678,1.1931037347923692,0.6647919625694935,3.2683790971974664,0.2222222222222222,-0.5283437938515735,0.6896439643289407,20.26143591170303,10.912445744968032,0.0865562612162344,0.7097492148460016,2.3973984683506258,0.9871954886670044,2.1538067622005475,1
D2392,c1(c(nc(cc1c1ccc(cc1)F)C(=O)N1CCCC1)C)C[NH3+],6.164,1.3388146351137602,0.4218810070630375,3.2464289001321847,0.2222222222222222,-0.4069052881763918,0.4122720718943456,28.880580792974342,10.941885105767604,0.09981690782447,0.7100110818448796,2.424491810838127,0.9779500229974212,1.4889930116961128,0
D0211,N1(C(=O)C[C@@H](Cc2c(ccc(c2)Cl)F)[NH3+])[C@H](C(=O)NCc2ccc(O[C@@H](C(=O)[O-])C(C)C)cc2)CCC1,8.796,1.20532086523441,0.5736379345369923,3.185088306614427,0.2874574785652648,-0.6261357341151554,0.6380223024590974,47.415978929462135,10.953242997412204,0.1431211319115398,0.7043215869214353,2.4370886970385355,0.9724655117155092,2.9342869646372325,1
D2884,c1ccccc1N1CC[C@H]([C@@H](C1)CCCC)N,4.447,1.179607845927916,0.2143631793412442,3.1336686052139644,0.1701034543599429,-0.4360433913575062,0.2011844635310912,19.13135364097311,10.960828259709604,0.0847796426244522,0.3261426269861723,2.4444475307417126,0.9878209272583258,0.7357022603955158,0
D1860,c1cc(c(cc1F)C[C@H](CC(=O)N1CCc2c(C1)n(c(n2)C(F)(F)F)C)[NH3+])F,6.886,1.2199161612169098,0.7453191705018924,4.022250712912067,0.3650450047968233,-0.4365481781789331,0.8039058346085826,32.94476486400109,10.953844414046731,0.1364400710276665,0.7042999200977693,2.4376673389953027,0.9777705155007712,3.361164177180684,0
